파일명,패키지,버전,Python,ABI,플랫폼,크기(KB)
lz4-4.4.5-cp311-cp311-win_amd64.whl,lz4,4.4.5,cp311,cp311,win_amd64,97.16
markupsafe-3.0.3-cp311-cp311-win_amd64.whl,markupsafe,3.0.3,cp311,cp311,win_amd64,14.72
multidict-6.7.1-cp311-cp311-win_amd64.whl,multidict,6.7.1,cp311,cp311,win_amd64,44.9
narwhals-2.23.0-py3-none-any.whl,narwhals,2.23.0,py3,none,any,448.18
numpy-2.4.6-cp311-cp311-win_amd64.whl,numpy,2.4.6,cp311,cp311,win_amd64,12312.9
orjson-3.11.9-cp311-cp311-win_amd64.whl,orjson,3.11.9,cp311,cp311,win_amd64,124.13
ormsgpack-1.12.2-cp311-cp311-win_amd64.whl,ormsgpack,1.12.2,cp311,cp311,win_amd64,114.44
pandas-3.0.3-cp311-cp311-win_amd64.whl,pandas,3.0.3,cp311,cp311,win_amd64,9675.4
peft-0.19.1-py3-none-any.whl,peft,0.19.1,py3,none,any,664.74
pillow-12.3.0-cp311-cp311-win_amd64.whl,pillow,12.3.0,cp311,cp311,win_amd64,7064.11
pip-26.2.1-py3-none-any.whl,pip,26.2.1,py3,none,any,1774.05
pluggy-1.6.0-py3-none-any.whl,pluggy,1.6.0,py3,none,any,20.06
propcache-0.5.2-cp311-cp311-win_amd64.whl,propcache,0.5.2,cp311,cp311,win_amd64,41.15
protobuf-7.35.1-cp310-abi3-win_amd64.whl,protobuf,7.35.1,cp310,abi3,win_amd64,429.68
psutil-7.2.2-cp37-abi3-win_amd64.whl,psutil,7.2.2,cp37,abi3,win_amd64,134.51
pyarrow-25.0.0-cp311-cp311-win_amd64.whl,pyarrow,25.0.0,cp311,cp311,win_amd64,27195.62
pydantic_core-2.27.2-cp311-cp311-win_amd64.whl,pydantic-core,2.27.2,cp311,cp311,win_amd64,1936.02
pypdfium2-5.11.0-py3-none-win_amd64.whl,pypdfium2,5.11.0,py3,none,win_amd64,3689.68
pytest-8.3.4-py3-none-any.whl,pytest,8.3.4,py3,none,any,335.04
pyyaml-6.0.3-cp311-cp311-win_amd64.whl,pyyaml,6.0.3,cp311,cp311,win_amd64,155.04
regex-2026.7.10-cp311-cp311-win_amd64.whl,regex,2026.7.10,cp311,cp311,win_amd64,271.44
ruff-0.8.6-py3-none-win_amd64.whl,ruff,0.8.6,py3,none,win_amd64,9447.13
safetensors-0.8.0-cp310-abi3-win_amd64.whl,safetensors,0.8.0,cp310,abi3,win_amd64,347.21
scikit_learn-1.9.0-cp311-cp311-win_amd64.whl,scikit-learn,1.9.0,cp311,cp311,win_amd64,8078.84
scipy-1.17.1-cp311-cp311-win_amd64.whl,scipy,1.17.1,cp311,cp311,win_amd64,35749.52
sentencepiece-0.2.1-cp311-cp311-win_amd64.whl,sentencepiece,0.2.1,cp311,cp311,win_amd64,1029.9
sentence_transformers-5.6.0-py3-none-any.whl,sentence-transformers,5.6.0,py3,none,any,582.43
tiktoken-0.13.0-cp311-cp311-win_amd64.whl,tiktoken,0.13.0,cp311,cp311,win_amd64,855.97
tokenizers-0.19.1-cp311-none-win_amd64.whl,tokenizers,0.19.1,cp311,none,win_amd64,2168.35
tomli-2.4.1-cp311-cp311-win_amd64.whl,tomli,2.4.1,cp311,cp311,win_amd64,105.55
torch-2.8.0-cp311-cp311-win_amd64.whl,torch,2.8.0,cp311,cp311,win_amd64,235709.72
tqdm-4.68.4-py3-none-any.whl,tqdm,4.68.4,py3,none,any,660.75
tzdata-2026.3-py2.py3-none-any.whl,tzdata,2026.3,py2,none,any,340.01
ujson-5.13.0-cp311-cp311-win_amd64.whl,ujson,5.13.0,cp311,cp311,win_amd64,39.98
watchfiles-1.2.0-cp311-cp311-win_amd64.whl,watchfiles,1.2.0,cp311,cp311,win_amd64,283.47
websockets-16.1-cp311-cp311-win_amd64.whl,websockets,16.1,cp311,cp311,win_amd64,176.23
wheel-0.48.0-py3-none-any.whl,wheel,0.48.0,py3,none,any,32.54
xxhash-3.8.1-cp311-cp311-win_amd64.whl,xxhash,3.8.1,cp311,cp311,win_amd64,31.96
yarl-1.24.2-cp311-cp311-win_amd64.whl,yarl,1.24.2,cp311,cp311,win_amd64,90.63
